Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
63000,,,,,,,3.3,,,,,
63000,,,,,,,3.1,,,,,
63000,,,,,,,3.5,,,,,
63000,,,,,,,3.3,,,,,
63000,,,,,,,3.8,,,,,
63000,,,,,,,3.8,,,,,
63000,,,,,,,3.7,,,,,
63000,,,,,,,3.2,,,,,
77500,,,,,,,4.2,,,,,
77500,,,,,,,4.6,,,,,
77500,,,,,,,3.2,,,,,
77500,,,,,,,3.5,,,,,
77500,,,,,,,3.7,,,,,
77500,,,,,,,3.9,,,,,
77500,,,,,,,3.4,,,,,
77500,,,,,,,4.1,,,,,
77500,,,,,,,5.0,,,,,
77500,,,,,,,3.5,,,,,
77500,,,,,,,3.7,,,,,
77500,,,,,,,4.0,,,,,
77500,,,,,,,3.6,,,,,
77500,,,,,,,3.0,,,,,
77500,,,,,,,3.9,,,,,
77500,,,,,,,5.0,,,,,
77500,,,,,,,4.7,,,,,
77500,,,,,,,3.5,,,,,
77500,,,,,,,3.2,,,,,
77500,,,,,,,4.6,,,,,
77500,,,,,,,4.2,,,,,
77500,,,,,,,3.9,,,,,
77500,,,,,,,3.9,,,,,
77500,,,,,,,4.8,,,,,
79500,,,,,,,-1.0,,,,,
79500,,,,,,,4.0,,,,,
79500,,,,,,,3.9,,,,,
79500,,,,,,,2.7,,,,,
79500,,,,,,,3.4,,,,,
79500,,,,,,,4.5,,,,,
79500,,,,,,,4.0,,,,,
79500,,,,,,,4.0,,,,,
79500,,,,,,,3.2,,,,,
79500,,,,,,,3.2,,,,,
79500,,,,,,,-1.0,,,,,
79500,,,,,,,3.8,,,,,
79500,,,,,,,3.8,,,,,
79500,,,,,,,3.9,,,,,
79500,,,,,,,3.5,,,,,
79500,,,,,,,3.0,,,,,
79500,,,,,,,3.0,,,,,
79500,,,,,,,3.9,,,,,
79500,,,,,,,3.9,,,,,
79500,,,,,,,3.7,,,,,
79500,,,,,,,4.3,,,,,
79500,,,,,,,1.0,,,,,
79500,,,,,,,3.7,,,,,
79500,,,,,,,3.6,,,,,
79500,,,,,,,2.9,,,,,
79500,,,,,,,2.5,,,,,
59000,,,,,,,3.6,,,,,
59000,,,,,,,4.1,,,,,
59000,,,,,,,3.3,,,,,
59000,,,,,,,4.8,,,,,
59000,,,,,,,3.3,,,,,
59000,,,,,,,2.8,,,,,
59000,,,,,,,3.6,,,,,
59000,,,,,,,2.5,,,,,
59000,,,,,,,4.2,,,,,
59000,,,,,,,3.5,,,,,
59000,,,,,,,1.0,,,,,
59000,,,,,,,3.2,,,,,
59000,,,,,,,4.8,,,,,
59000,,,,,,,2.9,,,,,
59000,,,,,,,3.4,,,,,
59000,,,,,,,3.7,,,,,
59000,,,,,,,5.0,,,,,
59000,,,,,,,4.1,,,,,
59000,,,,,,,2.5,,,,,
59000,,,,,,,4.5,,,,,
59000,,,,,,,3.5,,,,,
59000,,,,,,,5.0,,,,,
59000,,,,,,,2.1,,,,,
59000,,,,,,,3.3,,,,,
113000,,,,,,,4.5,,,,,
113000,,,,,,,-1.0,,,,,
113000,,,,,,,2.0,,,,,
113000,,,,,,,3.9,,,,,
113000,,,,,,,3.3,,,,,
113000,,,,,,,3.7,,,,,
113000,,,,,,,3.4,,,,,
113000,,,,,,,3.8,,,,,
113000,,,,,,,3.2,,,,,
113000,,,,,,,3.2,,,,,
113000,,,,,,,3.3,,,,,
113000,,,,,,,1.7,,,,,
113000,,,,,,,3.5,,,,,
113000,,,,,,,5.0,,,,,
113000,,,,,,,4.3,,,,,
113000,,,,,,,4.6,,,,,
113000,,,,,,,-1.0,,,,,
113000,,,,,,,3.0,,,,,
113000,,,,,,,3.3,,,,,
113000,,,,,,,3.0,,,,,
113000,,,,,,,5.0,,,,,
113000,,,,,,,2.7,,,,,
113000,,,,,,,3.2,,,,,
113000,,,,,,,3.5,,,,,
77500,,,,,,,2.7,,,,,
77500,,,,,,,3.3,,,,,
77500,,,,,,,3.3,,,,,
77500,,,,,,,2.8,,,,,
77500,,,,,,,-1.0,,,,,
77500,,,,,,,3.9,,,,,
77500,,,,,,,3.7,,,,,
77500,,,,,,,3.8,,,,,
77500,,,,,,,4.0,,,,,
77500,,,,,,,3.0,,,,,
77500,,,,,,,3.4,,,,,
77500,,,,,,,4.0,,,,,
33500,,,,,,,4.1,,,,,
33500,,,,,,,2.8,,,,,
33500,,,,,,,3.0,,,,,
